date_made,target_date,pred_wind_gw,actual_wind_gw,wind_err,pred_solar_gw,actual_solar_gw,status
2026-07-11,2026-07-12,9.06,6.77,2.29,4.23,,ok
2026-07-12,2026-07-13,9.47,6.98,2.49,3.96,,ok
2026-07-13,2026-07-14,3.51,6.36,-2.85,4.23,,ok
2026-07-14,2026-07-15,2.98,4.1,-1.12,4.52,,ok
2026-07-15,2026-07-16,2.57,2.64,-0.07,4.53,,ok
2026-07-16,2026-07-17,4.76,3.27,1.49,4.52,,ok
2026-07-17,2026-07-18,7.0,6.86,0.14,3.18,,ok
2026-07-18,2026-07-19,6.43,6.08,0.35,3.41,,ok
2026-07-19,2026-07-20,3.23,3.48,-0.25,3.39,,ok
2026-07-20,2026-07-21,5.34,4.05,1.29,3.44,,ok
2026-07-21,2026-07-22,5.37,4.35,1.02,3.16,,ok
2026-07-22,2026-07-23,4.39,4.58,-0.19,2.42,,ok
2026-07-23,2026-07-24,4.64,5.45,-0.81,3.49,,ok
2026-07-24,2026-07-25,11.64,8.79,2.85,3.86,,ok
2026-07-25,2026-07-26,6.32,8.71,-2.39,2.15,,ok
2026-07-26,2026-07-27,6.03,6.14,-0.11,2.25,,ok
2026-07-27,2026-07-28,6.04,7.31,-1.27,3.35,,ok
2026-07-28,2026-07-29,3.91,4.27,-0.36,4.3,,ok
2026-07-29,2026-07-30,4.44,4.29,0.15,2.53,,ok
2026-07-30,2026-07-31,3.99,4.09,-0.1,3.38,,ok
2026-07-31,2026-08-01,4.5,4.89,-0.39,3.48,,ok
2026-08-01,2026-08-02,2.65,2.12,0.53,3.64,,ok
2026-08-02,2026-08-03,5.81,5.75,0.06,3.75,,ok
2026-08-03,2026-08-04,6.58,7.17,-0.59,2.43,,ok
2026-08-04,2026-08-05,12.21,12.11,0.1,2.81,,ok
2026-08-05,2026-08-06,12.28,7.94,4.34,2.01,,ok
2026-08-07,2026-08-08,8.14,,,4.12,,ok
